ID_1,ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,UNIQUE_NUMBER,ID_NO,REV_BIS,NAME_EN,SHORT_DESCRIPTION_EN,JUSTIFICATION_EN,DATE_INSCRIBED,SECONDARY_DATES,DANGER,DATE_END,DANGER_LIST,AREA_HECTARES,CRITERIA_TXT,CATEGORY_SHORT,ISO_CODE,UDNP_CODE,TRANSBOUNDARY,GEOMETRY,TOP_10,PANORAMA
458,418,28.65555556,77.24083333,Cultural,India,Asia and the Pacific,1460,231,rev,Red Fort Complex," The Red Fort Complex was built as the palace fort of Shahjahanabad &ndash; the new capital of the fifth Mughal Emperor of India, Shah Jahan. Named for its massive enclosing walls of red sandstone, it is adjacent to an older fort, the Salimgarh, built by Islam Shah Suri in 1546, with which it forms the Red Fort Complex. The private apartments consist of a row of pavilions connected by a continuous water channel, known as the Nahr-i-Behisht (Stream of Paradise). The Red Fort is considered to represent the zenith of Mughal creativity which, under the Shah Jahan, was brought to a new level of refinement. The planning of the palace is based on Islamic prototypes, but each pavilion reveals architectural elements typical of Mughal building, reflecting a fusion of Persian, Timurid and Hindu traditions The Red Fort&rsquo;s innovative planning and architectural style, including the garden design, strongly influenced later buildings and gardens in Rajasthan, Delhi, Agra and further afield. ",,2007,,0,,,49.1815,(ii)(iii)(vi),C,in,ind,0,"[Point (77.2408,28.6556)]",No,
459,419,28.59333,77.25056,Cultural,India,Asia and the Pacific,2182,232,,"Humayun's Tomb, Delhi"," This tomb, built in 1570, is of particular cultural significance as it was the first garden-tomb on the Indian subcontinent. It inspired several major architectural innovations, culminating in the construction of the Taj Mahal. ",The Committee inscribed the site on the World Heritage List under criteria (ii) and (iv).,1993,,0,,,27.04,(ii)(iv),C,in,ind,0,"[Point (77.2506,28.5933)]",No,
460,420,28.52583,77.18528,Cultural,India,Asia and the Pacific,259,233,,"Qutb Minar and its Monuments, Delhi"," Built in the early 13th century a few kilometres south of Delhi, the red sandstone tower of Qutb Minar is 72.5 m high, tapering from 2.75 m in diameter at its peak to 14.32 m at its base, and alternating angular and rounded flutings. The surrounding archaeological area contains funerary buildings, notably the magnificent Alai-Darwaza Gate, the masterpiece of Indo-Muslim art (built in 1311), and two mosques, including the Quwwatu'l-Islam, the oldest in northern India, built of materials reused from some 20 Brahman temples. ",The Committee inscribed the site on the World Heritage List under criterion (iv),1993,,0,,,0,(iv),C,in,ind,0,"[Point (77.1853,28.5258)]",No,
461,421,15.50222,73.91167,Cultural,India,Asia and the Pacific,260,234,,Churches and Convents of Goa," The churches and convents of Goa, the former capital of the Portuguese Indies &ndash; particularly the Church of Bom Jesus, which contains the tomb of St Francis-Xavier &ndash; illustrate the evangelization of Asia. These monuments were influential in spreading forms of Manueline, Mannerist and Baroque art in all the countries of Asia where missions were established. ",,1986,,0,,,0,(ii)(iv)(vi),C,in,ind,0,"[Point (73.9117,15.5022)]",No,
425,432,27.18333333,78.03333333,Cultural,India,Asia and the Pacific,281,251,,Agra Fort,"Near the gardens of the Taj Mahal stands the important 16th-century Mughal monument known as the Red Fort of Agra. This powerful fortress of red sandstone encompasses, within its 2.5-km-long enclosure walls, the imperial city of the Mughal rulers. It comprises many fairy-tale palaces, such as the Jahangir Palace and the Khas Mahal, built by Shah Jahan; audience halls, such as the Diwan-i-Khas; and two very beautiful mosques.",,1983,,0,,,0,(iii),C,in,ind,0,"[Point (78.0333,27.1833)]",No,
426,433,27.17417,78.04222,Cultural,India,Asia and the Pacific,282,252,,Taj Mahal,"An immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage.",,1983,,0,,,0,(i),C,in,ind,0,"[Point (78.0422,27.1742)]",Yes,realistic_taj_mahal.jpeg
427,434,27.09444,77.66417,Cultural,India,Asia and the Pacific,285,255,,Fatehpur Sikri," Built during the second half of the 16th century by the Emperor Akbar, Fatehpur Sikri (the City of Victory) was the capital of the Mughal Empire for only some 10 years. The complex of monuments and temples, all in a uniform architectural style, includes one of the largest mosques in India, the Jama Masjid. ",,1986,,0,,,0,(ii)(iii)(iv),C,in,ind,0,"[Point (77.6642,27.0944)]",No,
428,435,30.71667,79.66667,Natural,India,Asia and the Pacific,382,335,Bis,Nanda Devi and Valley of Flowers National Parks," Nestled high in West Himalaya, India&rsquo;s Valley of Flowers National Park is renowned for its meadows of endemic alpine flowers and outstanding natural beauty. This richly diverse area is also home to rare and endangered animals, including the Asiatic black bear, snow leopard, brown bear and blue sheep. The gentle landscape of the Valley of Flowers National Park complements the rugged mountain wilderness of Nanda Devi National Park. Together they encompass a unique transition zone between the mountain ranges of the Zanskar and Great Himalaya, praised by mountaineers and botanists for over a century and in Hindu mythology for much longer. "," <em>Criterion (vii): </em>The Valley of Flowers is an outstandingly beautiful high-altitude Himalayan valley that has been acknowledged as such by renowned mountaineers and botanists in literature for over a century and in Hindu mythology for much longer. Its &lsquo;gentle&rsquo; landscape, breath-takingly beautiful meadows of alpine flowers and ease of access complement the rugged, mountain wilderness for which the inner basin of Nanda Devi National Park is renowned. 
 <em>Criterion (x): </em>The Valley of Flowers is internationally important on account of its diverse alpine flora, representative of the West Himalaya biogeographic zone. The rich diversity of species reflects the valley&rsquo;s location within a transition zone between the Zaskar and Great Himalaya ranges to the north and south, respectively, and between the Eastern and Western Himalaya flora. A number of plant species are internationally threatened, several have not been recorded from elsewhere in Uttaranchal and two have not been recorded in Nanda Devi National Park. The diversity of threatened species of medicinal plants is higher than has been recorded in other Indian Himalayan protected areas. The entire Nanda Devi Biosphere Reserve lies within the Western Himalayas Endemic Bird Area (EBA). Seven restricted-range bird species are endemic to this part of the EBA. ",1988,2005,0,,,71783,(vii)(x),N,in,ind,0,"[Point (79.6667,30.7167)]",No,
429,436,26.66666667,93.41666667,Natural,India,Asia and the Pacific,384,337,,Kaziranga National Park," In the heart of Assam, this park is one of the last areas in eastern India undisturbed by a human presence. It is inhabited by the world's largest population of one-horned rhinoceroses, as well as many mammals, including tigers, elephants, panthers and bears, and thousands of birds. ",,1985,,0,,,42996,(ix)(x),N,in,ind,0,"[Point (93.4167,26.6667)]",No,
430,437,26.725,91.03055556,Natural,India,Asia and the Pacific,385,338,,Manas Wildlife Sanctuary," On a gentle slope in the foothills of the Himalayas, where wooded hills give way to alluvial grasslands and tropical forests, the Manas sanctuary is home to a great variety of wildlife, including many endangered species, such as the tiger, pygmy hog, Indian rhinoceros and Indian elephant. ",,1985,,0,2011,P 1992-2011,39100,(vii)(ix)(x),N,in,ind,0,"[Point (91.0306,26.7250)]",No,
431,438,27.15888889,77.50861111,Natural,India,Asia and the Pacific,387,340,,Keoladeo National Park," This former duck-hunting reserve of the Maharajas is one of the major wintering areas for large numbers of aquatic birds from Afghanistan, Turkmenistan, China and Siberia. Some 364 species of birds, including the rare Siberian crane, have been recorded in the park. ",,1985,,0,,,2873,(x),N,in,ind,0,"[Point (77.5086,27.1589)]",No,
432,439,21.945,88.89583333,Natural,India,Asia and the Pacific,524,452,,Sundarbans National Park," The Sundarbans covers 10,000 km<sup>2</sup> of land and water (more than half of it in India, the rest in Bangladesh) in the Ganges delta. It contains the world's largest area of mangrove forests. A number of rare or endangered species live in the park, including tigers, aquatic mammals, birds and reptiles. ",,1987,,0,,,133010,(ix)(x),N,in,ind,0,"[Point (88.8958,21.9450)]",No,
433,440,23.47944,77.73972,Cultural,India,Asia and the Pacific,613,524,,Buddhist Monuments at Sanchi," On a hill overlooking the plain and about 40 km from Bhopal, the site of Sanchi comprises a group of Buddhist monuments (monolithic pillars, palaces, temples and monasteries) all in different states of conservation most of which date back to the 2nd and 1st centuries B.C. It is the oldest Buddhist sanctuary in existence and was a major Buddhist centre in India until the 12th century A.D. ",,1989,,0,,,0,(i)(ii)(iii)(iv)(vi),C,in,ind,0,"[Point (77.7397,23.4794)]",No,
434,445,24.69528,84.99389,Cultural,India,Asia and the Pacific,1231,1056,Rev,Mahabodhi Temple Complex at Bodh Gaya," The Mahabodhi Temple Complex is one of the four holy sites related to the life of the Lord Buddha, and particularly to the attainment of Enlightenment. The first temple was built by Emperor Asoka in the 3rd century B.C., and the present temple dates from the 5th or 6th centuries. It is one of the earliest Buddhist temples built entirely in brick, still standing in India, from the late Gupta period. "," Criterion (i): The grand 50m high Mahabodhi Temple of the 5th-6th centuries is of immense importance, being one of the earliest temple constructions existing in the Indian sub-continent. It is one of the few representations of the architectural genius of the Indian people in constructing fully developed brick temples in that era. 
 Criterion (ii): The Mahabodhi Temple, one of the few surviving examples of early brick structures in India, has had significant influence in the development of architecture over the centuries. 
 Criterion (iii): The site of the Mahabodhi Temple provides exceptional records for the events associated with the life of Buddha and subsequent worship, particularly since Emperor Asoka built the first temple, the balustrades, and the memorial column. 
 Criterion (iv): The present Temple is one of the earliest and most imposing structures built entirely in brick from the late Gupta period. The sculpted stone balustrades are an outstanding early example of sculptural reliefs in stone. 
 Criterion (vi): The Mahabodhi Temple Complex in Bodh Gaya has direct association with the life of the Lord Buddha, being the place where He attained the supreme and perfect insight. ",2002,,0,,,4.86,(i)(ii)(iii)(iv)(vi),C,in,ind,0,"[Point (84.9939,24.6953)]",No,
435,446,22.48333333,73.53333333,Cultural,India,Asia and the Pacific,1279,1101,,Champaner-Pavagadh Archaeological Park," A concentration of largely unexcavated archaeological, historic and living cultural heritage properties cradled in an impressive landscape which includes prehistoric (chalcolithic) sites, a hill fortress of an early Hindu capital, and remains of the 16th-century capital of the state of Gujarat. The site also includes, among other vestiges, fortifications, palaces, religious buildings, residential precincts, agricultural structures and water installations, from the 8th to 14th centuries. The Kalikamata Temple on top of Pavagadh Hill is considered to be an important shrine, attracting large numbers of pilgrims throughout the year. The site is the only complete and unchanged Islamic pre-Mughal city. "," <em>Criterion (iii):</em> The Champaner-Pavagadh Archaeological Park with its ancient Hindu architecture, temples and special water retaining installations together with its religious, military and agricultural structures, dating back to the regional Capital City built by Mehmud Begda in the 16th century, represents cultures which have disappeared. 
 <em>Criterion (iv):</em> The structures represent a perfect blend of Hindu-Moslem architecture, mainly in the Great Mosque (Jami Masjid), which was a model for later mosque architecture in India. This special style comes from the significant period of regional sultanates. 
 <em>Criterion (v):</em> The Champaner-Pavagadh Archaeological Park is an outstanding example of a very short living Capital, making the best use of its setting, topography and natural features. It is quite vulnerable due to abandonment, forest takeover and modern life. 
 <em>Criterion (vi):</em> The Champaner-Pavagadh Archaeological Park is a place of worship and continuous pilgrimage for Hindu believers. ",2004,,0,,,1328.89,(iii)(iv)(v)(vi),C,in,ind,0,"[Point (73.5333,22.4833)]",No,
436,447,26.92472222,75.825,Cultural,India,Asia and the Pacific,1677,1338,,"The Jantar Mantar, Jaipur"," The Jantar Mantar, in Jaipur, is an astronomical observation site built in the early 18th century. It includes a set of some 20 main fixed instruments. They are monumental examples in masonry of known instruments but which in many cases have specific characteristics of their own. Designed for the observation of astronomical positions with the naked eye, they embody several architectural and instrumental innovations. This is the most significant, most comprehensive, and the best preserved of India's historic observatories. It is an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period. ",,2010,,0,,,1.8652,(iii)(iv),C,in,ind,0,"[Point (75.8250,26.9247)]",No,
437,448,8.529722222,77.24972222,Natural,India,Asia and the Pacific,1921,1342,Rev,Western Ghats," Older than the Himalaya mountains, the mountain chain of the Western Ghats represents geomorphic features of immense importance with unique biophysical and ecological processes. The site&rsquo;s high montane forest ecosystems influence the Indian monsoon weather pattern. Moderating the tropical climate of the region, the site presents one of the best examples of the monsoon system on the planet. It also has an exceptionally high level of biological diversity and endemism and is recognized as one of the world&rsquo;s eight &lsquo;hottest hotspots&rsquo; of biological diversity. The forests of the site include some of the best representatives of non-equatorial tropical evergreen forests anywhere and are home to at least 325 globally threatened flora, fauna, bird, amphibian, reptile and fish species. ",,2012,,0,,,795315,(ix)(x),N,in,ind,0,"[Point (77.2497,8.5297)]",No,
438,449,31.83333333,77.58333333,Natural,India,Asia and the Pacific,2011,1406,Rev,Great Himalayan National Park Conservation Area," This National Park in the western part of the Himalayan Mountains in the northern Indian state of Himachal Pradesh is characterized by high alpine peaks, alpine meadows and riverine forests. The 90,540&nbsp;ha property includes the upper mountain glacial and snow meltwater sources of several rivers, and the catchments of water supplies that are vital to millions of downstream users. The GHNPCA protects the monsoon-affected forests and alpine meadows of the Himalayan front ranges. It is part of the Himalaya biodiversity hotspot and includes twenty-five forest types along with a rich assemblage of fauna species, several of which are threatened. This gives the site outstanding significance for biodiversity conservation. ",,2014,,0,,,90540,(x),N,in,ind,0,"[Point (77.5833,31.8333)]",No,
443,450,18.92980556,72.83008333,Cultural,India,Asia and the Pacific,2041,1480,,Victorian Gothic and Art Deco Ensembles of Mumbai," Having become a global trading centre, the city of Mumbai implemented an ambitious urban planning project in the second half of the 19th century. It led to the construction of ensembles of public buildings bordering the Oval Maidan open space, first in the Victorian Neo-Gothic style and then, in the early 20th century, in the Art Deco idiom. The Victorian ensemble includes Indian elements suited to the climate, including balconies and verandas. The Art Deco edifices, with their cinemas and residential buildings, blend Indian design with Art Deco imagery, creating a unique style that has been described as<em> Indo-Deco</em>. These two ensembles bear testimony to the phases of modernization that Mumbai has undergone in the course of the 19th and 20th centuries. ",,2018,,0,,,66.34,(ii)(iv),C,in,ind,0,"[Point (72.8301,18.9298)]",No,
444,451,25.13666667,85.44388889,Cultural,India,Asia and the Pacific,2089,1502,,"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar"," The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes <em>stupas</em>, shrines, <em>viharas</em> (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions. ",,2016,,0,,,23,(iv)(vi),C,in,ind,0,"[Point (85.4439,25.1367)]",No,
445,452,27.76472222,88.37722222,Mixed,India,Asia and the Pacific,2105,1513,,Khangchendzonga National Park," Located at the heart of the Himalayan range in northern India (State of Sikkim), the Khangchendzonga National Park includes a unique diversity of plains, valleys, lakes, glaciers and spectacular, snow-capped mountains covered with ancient forests, including the world⿿s third highest peak, Mount Khangchendzonga. Mythological stories are associated with this mountain and with a great number of natural elements (caves, rivers, lakes, etc.) that are the object of worship by the indigenous people of Sikkim. The sacred meanings of these stories and practices have been integrated with Buddhist beliefs and constitute the basis for Sikkimese identity. ",,2016,,0,,,178400,(iii)(vi)(vii)(x),M,in,ind,0,"[Point (88.3772,27.7647)]",No,
446,453,23.02638889,72.58805556,Cultural,India,Asia and the Pacific,2144,1551,,Historic City of Ahmadabad," The walled city of Ahmadabad, founded by Sultan Ahmad Shah in the 15th century, on the eastern bank of the Sabarmati river, presents a rich architectural heritage from the sultanate period, notably the Bhadra citadel, the walls and gates of the Fort city and numerous mosques and tombs as well as important Hindu and Jain temples of later periods. The urban fabric is made up of densely-packed traditional houses (<em>pols</em>) in gated traditional streets (<em>puras</em>) with characteristic features such as bird feeders, public wells and religious institutions. The city continued to flourish as the capital of the State of Gujarat for six centuries, up to the present. 
<span></span>",,2017,,0,,,535.7,(ii)(v),C,in,ind,0,"[Point (72.5881,23.0264)]",No,
447,454,26.90786111,75.78722222,Cultural,India,Asia and the Pacific,2309,1605,,"Jaipur City, Rajasthan","The fortified city of Jaipur, in India⿿s northwestern state of Rajasthan was founded in 1727 by Sawai Jai Singh II. Unlike other cities in the region located in hilly terrain, Jaipur was established on the plain and built according to a grid plan interpreted in the light of Vedic architecture. The streets feature continuous colonnaded businesses that intersect in the centre, creating large public squares called <em>chaupars</em>. Markets, stalls, residences and temples built along the main streets have uniform facades. The city's urban planning shows an exchange of ideas from ancient Hindu and modern Mughal as well as Western cultures. The grid plan is a model that prevails in the West, while the organization of the different districts refers to traditional Hindu concepts. Designed to be a commercial capital, the city has maintained its local commercial, artisanal and cooperative traditions to this day.",,2019,,0,,,710,(ii)(iv)(vi),C,in,ind,0,"[Point (75.7872,26.9079)]",No,
451,441,23.85888889,72.10166667,Cultural,India,Asia and the Pacific,2008,922,,"Rani-ki-Vav (the Queen⿿s Stepwell) at Patan, Gujarat"," Rani-ki-Vav, on the banks of the Saraswati River, was initially built as a memorial to a king in the 11th century AD. Stepwells are a distinctive form of subterranean water resource and storage systems on the Indian subcontinent, and have been constructed since the 3rd millennium BC. They evolved over time from what was basically a pit in sandy soil towards elaborate multi-storey works of art and architecture. Rani-ki-Vav was built at the height of craftsmens&rsquo; ability in stepwell construction and the Maru-Gurjara architectural style, reflecting mastery of this complex technique and great beauty of detail and proportions. Designed as an inverted temple highlighting the sanctity of water, it is divided into seven levels of stairs with sculptural panels of high artistic quality; more than 500 principle sculptures and over a thousand minor ones combine religious, mythological and secular imagery, often referencing literary works. The fourth level is the deepest and leads into a rectangular tank 9.5&nbsp;m by 9.4&nbsp;m, at a depth of 23&nbsp;m. The well is located at the westernmost end of the property and consists of a shaft 10&nbsp;m in diameter and 30&nbsp;m deep. ",,2014,,0,,,4.68,(i)(iv),C,in,ind,0,"[Point (72.1017,23.8589)]",No,
452,442,22.92777778,77.58333333,Cultural,India,Asia and the Pacific,1079,925,,Rock Shelters of Bhimbetka," The Rock Shelters of Bhimbetka are in the foothills of the Vindhyan Mountains on the southern edge of the central Indian plateau. Within massive sandstone outcrops, above comparatively dense forest, are five clusters of natural rock shelters, displaying paintings that appear to date from the Mesolithic Period right through to the historical period. The cultural traditions of the inhabitants of the twenty-one villages adjacent to the site bear a strong resemblance to those represented in the rock paintings. "," Criterion (iii): Bhimbetka reflects a long interaction between people and the landscape, as demonstrated in the quantity and quality of its rock art. Criterion (v): Bhimbetka is closely associated with a hunting and gathering economy as demonstrated in the rock art and in the relicts of this tradition in the local adivasi villages on the periphery of this site. ",2003,,0,,,1893,(iii)(v),C,in,ind,0,"[Point (77.5833,22.9278)]",No,
453,443,11.51028,76.93583,Cultural,India,Asia and the Pacific,1540,944,Ter,Mountain Railways of India," This site includes three railways. The Darjeeling Himalayan Railway was the first, and is still the most outstanding, example of a hill passenger railway. Opened in 1881, its design applies bold and ingenious engineering solutions to the problem of establishing an effective rail link across a mountainous terrain of great beauty. The construction of the Nilgiri Mountain Railway, a 46-km long metre-gauge single-track railway in Tamil Nadu State was first proposed in 1854, but due to the difficulty of the mountainous location the work only started in 1891 and was completed in 1908. This railway, scaling an elevation of 326 m to 2,203 m, represented the latest technology of the time. The Kalka Shimla Railway, a 96-km long, single track working rail link built in the mid-19th century to provide a service to the highland town of Shimla is emblematic of the technical and material efforts to disenclave mountain populations through the railway. All three railways are still fully operational. ",,1999,"2,00,52,008",0,,,88.99,(ii)(iv),C,in,ind,0,"[Point (76.9358,11.5103)]",No,
454,444,18.94012222,72.83620278,Cultural,India,Asia and the Pacific,1105,945,Rev,Chhatrapati Shivaji Terminus (formerly Victoria Terminus)," The Chhatrapati Shivaji Terminus, formerly known as Victoria Terminus Station, in Mumbai, is an outstanding example of Victorian Gothic Revival architecture in India, blended with themes deriving from Indian traditional architecture. The building, designed by the British architect F. W. Stevens, became the symbol of Bombay as the &lsquo;Gothic City&rsquo; and the major international mercantile port of India. The terminal was built over 10 years, starting in 1878, according to a High Victorian Gothic design based on late medieval Italian models. Its remarkable stone dome, turrets, pointed arches and eccentric ground plan are close to traditional Indian palace architecture. It is an outstanding example of the meeting of two cultures, as British architects worked with Indian craftsmen to include Indian architectural tradition and idioms thus forging a new style unique to Bombay. "," <em>Criterion (ii):</em> Chhatrapati Shivaji Terminus of Mumbai (formerly Bombay) exhibits an important interchange of influences from Victorian Italianate Gothic Revival architecture, and from Indian traditional buildings. It became a symbol for Mumbai as a major mercantile port city on the Indian Subcontinent within the British Commonwealth. 
 <em>Criterion (iv):</em> Chhatrapati Shivaji Terminus is an outstanding example of late 19th century railway architecture in the British Commonwealth, characterized by Victorian Gothic Revival and traditional Indian features, as well as its advanced structural and technical solutions. ",2004,,0,,,2.85,(ii)(iv),C,in,ind,0,"[Point (72.8362,18.9401)]",No,
