Name,Address,City,Country,Beds,Trauma,Phone
Fort Leonard Wood Army Community Hospital,126 Missouri Ave,Fort Leonard Wood,USA,1001,General Medical,(573) 596-0035
Kindred Hospital - Tarrant County,1000 North Cooper Street,Arlington,USA,68,General Medical,(817) 548-3400
Va Medical Center - Newington Campus,555 Willard Ave,Newington,USA,1001,General Medical,NOT AVAILABLE
"Va Medical Center - Marion, In",1700 E 38th St,Marion,USA,1001,General Medical,(765) 674-3321
Saint Josephs Hospital And Medical Center,703 Main Street,Paterson,USA,651,Children Specialists,(973) 754-2010
Lamb Healthcare Center,1500 South Sunset Avenue,Littlefield,USA,75,Breast Cancer,(806) 385-6411
Va Medical Center - Kansas City,4801 Linwood Blvd,Kansas City,USA,157,General Medical,(816) 861-4700
Va Medical Center - Lyons Campus,151 Knollcroft Rd,Lyons,USA,1001,General Medical,(908) 647-0180
Aleda E. Lutz Va Medical Center,1500 Weiss St,Saginaw,USA,1001,General Medical,(989) 497-2500
John Brooks Recovery Center - Resident Drug Treatment (Women),20 South Tennessee Avenue,Atlantic City,USA,29,General Medical,(609) 345-2433
Va Caribbean Healthcare System,10 Casia St,San Juan,PRI,1001,General Medical,NOT AVAILABLE
Gulf Coast Veterans Health Care System,400 Veterans Ave,Biloxi,USA,1001,General Medical,(228) 523-5000
Mayo Clinic Hospital Methodist Campus,201 West Center St,Rochester,USA,794,General Medical,(507) 284-2511
Shawnee Mission Prairie Star,23401 Prairie Star Pkwy,Lenexa,USA,1001,General Medical,(913) 676-8630
Beatrice Community Hospital,4800 Hospital Pkwy,Beatrice,USA,25,General Medical,(402) 228-3344
Va Medical Center - Cheyenne,2360 E Pershing Blvd,Cheyenne,USA,1001,General Medical,(307) 778-7550
Saint Francis Hospital Memphis,5959 Park Ave,Memphis,USA,479,General Medical,(901) 765-1000
Merit Health Madison,161 River Oaks Dr,Canton,USA,67,Pneumonia,(601) 855-4000
Iu Health University Hospital,550 University Blvd,Indianapolis,USA,1001,General Medical,(317) 274-5000
Akron Children'S Hosp Beeghly,6505 Market St,Boardman,USA,43,General Medical,(330) 543-8290
Vibra Hospital Of Amarillo,7501 Wallace Blvd,Amarillo,USA,72,General Medical,(806) 468-2900
Bethesda Arrow Springs-Er,100 Arrow Springs Blvd,Lebanon,USA,1001,General Medical,(513) 282-7000
Houston Methodist San Jacinto Hospital Alexander Campus,1700 James Bowie Drive,Baytown,USA,182,General Medical,(281) 420-8765
"Woods At Parkside,The",349 Olde Ridenour Road,Columbus,USA,50,General Medical,(614) 471-2552
Dayton Children'S Hospital,One Childrens Plaza,Dayton,USA,155,Pediatric Level Ii,(937) 641-3300
Vibra Hospital Of Mahoning Valley,8049 South Avenue,Boardman,USA,45,General Medical,(330) 726-5021
Haven Behavioral Senior Care Of Dayton,"One Elizabeth Place,E3 Suite A",Dayton,USA,32,General Medical,(615) 393-8879
Chg Cornerstone Hospital Of Oklahoma,"1900 Gordon Cooper Drive,2nd Floor",Shawnee,USA,34,General Medical,(405) 395-5800
Lifebrite Community Hospital Of Stokes,1570 Nc 8 & 89 Hwy North,Danbury,USA,93,General Medical,(336) 593-2831
Mccallen Medical Center,301 West Expressway 83,Mcallen,USA,441,Lung Cancer,(956) 632-4000
Christus Spohn Hospital Corpus Christi Shoreline,600 Elizabeth Street,Corpus Christi,USA,557,General Medical,(361) 902-4690
Baylor Emergency Medical Center,"1776 North Us 287,Suite 100",Mansfield,USA,8,General Medical,(214) 294-6300
Detar North,101 Medical Drive,Victoria,USA,115,Breast Cancer,(361) 573-6100
Sheltering Arms Rehabilitation Hospital,8254 Atlee Road,Mechanicsville,USA,40,General Medical,(804) 342-4320
Sentara Rmh Medical Center,2010 Health Campus Drive,Harrisonburg,USA,238,General Medical,(540) 689-1000
Valley Health Shenandoah Memorial Hospital,759 South Main Street,Woodstock,USA,25,General Medical,(540) 459-1100
Wise Regional Health System,609 Medical Center Dr,Decatur,USA,99,Breast Cancer,(940) 627-5921
St Joseph'S Hospital And Health Center,2500 Fairway Street,Dickinson,USA,25,General Medical,(701) 456-4000
St. Luke'S Meridian Medical Center,520 S. Eagle Road,Meridian,USA,1001,General Medical,(208) 706-5000
Carolinas Healthcare System Union,600 Hospital Drive,Monroe,USA,227,General Medical,(704) 283-3100
Altru Specialty Hospital,4500 S Washington St,Grand Forks,USA,45,General Medical,(701) 780-1500
Sanford Medical Center Fargo,5225 23rd Ave S,Fargo,USA,228,General Medical,(701) 234-6919
Community Hospital Onaga Ltcu,206 Grand Ave,St Marys,USA,1001,General Medical,NOT AVAILABLE
Nell J. Redfield Memorial Hospital,150 North 200 West,Malad City,USA,11,General Medical,(208) 766-2231
University Of Texas Medical Branch Hospital,301 University Boulevard,Galveston,USA,370,Cancer Specialists,NOT AVAILABLE
Lake Granbury Medical Center,1310 Paluxy Road,Greenville,USA,83,Breast Cancer,(817) 573-2273
Chi St Lukes Health Memorial Specialty Hospital,"1201 West Frank Avenue,Suite 5d",Lufkin,USA,26,General Medical,(936) 639-7975
Kindred Hospital - Mansfield,1802 Highway 157 North,Mansfield,USA,55,General Medical,(817) 473-6101
United Regional Health Care System,1600 11th Street,Wichita Falls,USA,325,Covid,(940) 764-7000
Mid-Jefferson Extended Care Hospital,2600 Highway 365,Nederland,USA,48,General Medical,(409) 726-8700
Kindred Hospital - San Antonio,3636 Medical Drive,San Antonio,USA,59,General Medical,(210) 616-0616
Atrium Medical Center,11929  West Airport Boulevard,Stafford,USA,68,General Medical,(281) 207-8200
Cornerstone Hospital Of Houston - Clear Lake,709 Medical Center Boulevard,Webster,USA,74,General Medical,(281) 332-3322
Continuecare Hospital Of Midland,"4214 Andrews Highway,Suite 320",Midland,USA,29,General Medical,(432) 221-1111
Kindred Hospital North Houston,7407 North Freeway,Houston,USA,1001,General Medical,NOT AVAILABLE
Vibra Specialty Hospital,2700 Walker Way,De Soto,USA,40,General Medical,(972) 298-1100
"Solara Hospital Harlingen, Brownsville Campus",333 Lorenaly Drive,Brownsville,USA,41,General Medical,(956) 546-0808
Select Specialty Hospital - Dallas (Garland),"2300 Marie Curie,3w & 3e Floors",Garland,USA,40,General Medical,(469) 334-0853
Community First Medical Center,5645 W Addison,Chicago,USA,279,General Medical,(773) 282-7000
Saint Anthony Hospital,2875 West 19th Street,Chicago,USA,151,General Medical,(773) 484-1000
Advocate Trinity Hospital,2320 E 93rd St,Chicago,USA,188,General Medical,(773) 967-2000
Chicago Behavioral Hospital,555 Wilson Lane,Des Plaines,USA,113,General Medical,(847) 768-5430
Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,USA,326,Cancer Specialists,(630) 275-5900
Mercy Harvard Hospital,901 Grant Street,Harvard,USA,35,General Medical,(815) 943-5431
Presence St Joseph Medical Center,333 N Madison,Joliet,USA,480,Covid,(815) 725-7133
Keefe Memorial Hospital,602 N 6th W St,Cheyenne Wells,USA,11,Breast Cancer,(719) 767-5661
Bear Valley Community Hospital,41870 Garstin Drive,Big Bear Lake,USA,30,General Medical,NOT AVAILABLE
Providence Hospital,230 Calle Del Norte,Laredo,USA,12,General Medical,(956) 693-5000
Texas Health Heart & Vascular Hospital  Arlington,800 W. Randol Mill  Rd.,Arlington,USA,48,General Medical,(817) 960-3500
Bellaire Surgical Hospital Holdings Llc,411 First Street,Bellaire,USA,19,General Medical,(713) 275-1111
Tops Surgical Specialty Hospital,17080 Red Oak Drive,Houston,USA,16,General Medical,(281) 943-7400
Texas Institute For Surgery At Texas Health Presbyterian Dallas,7115 Greenville Avenue,Dallas,USA,9,General Medical,(214) 647-5300
Baylor Surgical Hospital At Las Colinas,400 West Interstate 635,Irving,USA,20,General Medical,(972) 868-4000
Methodist Specialty & Transplant Hospital,8026 Floyd Curl Dr,San Antonio,USA,383,Breast Cancer,(210) 575-8168
Altus Baytown Hospital,1455 Manor Dr,Baytown,USA,14,General Medical,(281) 837-7600
The Corpus Christi Medical Center - The Heart Hospital,7002 Williams Drive,Corpus Christi,USA,72,Breast Cancer,(361) 761-6800
Physicians Surgical Hospital - Panhandle Campus,7100 West 9th Street,Amarillo,USA,21,General Medical,(806) 212-0247
Parkway Surgical And Cardiovascular Hospital,3200 North Tarrant Parkway,Fort Worth,USA,12,General Medical,(817) 502-7300
Women'S Hospital At Renaissance,5502 South Mccoll,Edinburg,USA,151,General Medical,(956) 362-5601
Palo Verde Behavioral Health,2695 North Craycroft Road,Tucson,USA,48,General Medical,(520) 324-4340
University Medical Center Of Southern Nevada,1800 West Charleston Boulevard,Las Vegas,USA,541,Covid,(702) 383-2000
Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,USA,145,Covid,(256) 737-2598
Decatur Morgan Hospital - Parkway Campus,"1874 Beltline Road, S.W.",Decatur,USA,108,General Medical,(256) 350-2211
Baptist Medical Center - Princeton,"701 Princeton Avenue, S.W.",Birmingham,USA,505,General Medical,(205) 715-5309
Flowers Hospital,4370 West Main Street,Dothan,USA,235,Covid,(334) 793-5000
"Porter Medical Center, Inc.",116 Porter Drive,Middlebury,USA,25,General Medical,(802) 388-4701
Memorial Hospital Of Gardena,1145 W. Redondo Beach Blvd.,Gardena,USA,172,General Medical,NOT AVAILABLE
San Dimas Community Hospital,1350 West Covina Boulevard,San Dimas,USA,101,General Medical,NOT AVAILABLE
Desert Regional Medical Center,1150 North Indian Canyon Drive,Palm Springs,USA,385,Children Specialists,NOT AVAILABLE
Riverside Community Hospital,4445 Magnolia Avenue,Riverside,USA,373,Children Specialists,NOT AVAILABLE
Southwest Healthcare System-Murrieta,25500 Medical Center Drive,Murrieta,USA,120,General Medical,NOT AVAILABLE
Mayhill Hospital,2809 South Mayhill Road,Denton,USA,60,General Medical,(940) 239-3000
El Paso Psychiatric Center,4615 Alameda Avenue,El Paso,USA,74,General Medical,NOT AVAILABLE
El Paso Behavioral Health System,1900 Denver Avenue,El Paso,USA,163,General Medical,(915) 544-4000
Glen Oaks Hospital,301 East Division St.,Greenville,USA,54,General Medical,(903) 454-6000
Rio Grande State Center,1401 South Rangerville Road,Harlingen,USA,55,General Medical,NOT AVAILABLE
Cypress Creek Hospital,17750 Cali Drive,Houston,USA,96,General Medical,(281) 586-7600
Kerrville State Hospital,721 Thompson Drive,Kerrville,USA,202,General Medical,NOT AVAILABLE
Texas Health Seay Behavioral Health Center Plano,6110 West Parker Road,Plano,USA,48,General Medical,NOT AVAILABLE
Wilson N Jones Regional Medical Center - Behavioral Health Services,1111 Gallagher Road,Sherman,USA,20,General Medical,(903) 870-7322
Dallas Behavioral Healthcare Hospital Llc,800 Kirnwood Drive,De Soto,USA,116,General Medical,(972) 982-0897
Oceans Behavioral Hospital Of The Permian Basin,3300 South Fm 1788,Midland,USA,64,General Medical,(432) 561-5915
Pam Rehabilitation Hospital Of Centennial Hills,6166 N Durango Drive,Las Vagas,USA,1001,General Medical,(725) 223-4100
Oceans Behavioral Hospital Of Lufkin,302 Globbers Knob Road,Lufkin,USA,24,General Medical,(936) 632-2276
Nix Behavioral Health Center,1975 Babcock Rd,San Antonio,USA,73,General Medical,(210) 271-2188
Eating Recovery Center,"4708 Alliance Boulevard,Third Floor",Plano,USA,24,General Medical,(972) 479-5779
Haven Behavioral Hospital Of Frisco,5680 Frisco Square Boulevard,Frisco,USA,36,General Medical,(469) 535-8000
Westpark Springs,6902 S Peek Road,Richmond,USA,72,General Medical,(832) 535-2770
Oceans Behavioral Hospital Of Katy,455 Park Grove Lane,Katy,USA,48,General Medical,(281) 492-8888
Behavioral Medicine At Renaissance,5510 Raphael Drive,Edinburg,USA,87,General Medical,(956) 362-7293
Baptist Hospitals Of Southeast Texas Fannin Behavioral Center,3250 Fannin,Beaumont,USA,120,General Medical,(409) 212-7000
Jps Health Network - Trinity Springs North,1000 St Louis Avenue,Forth Worth,USA,36,General Medical,(817) 702-1088
Georgetown Behavioral Health Institue,3101 S Austin Ave,Georgetown,USA,118,General Medical,(512) 819-1100
Casa Amistad,"1500 Pappas,#664",Laredo,USA,1001,General Medical,(956) 794-3405
Leahi Hospital,3675 Kilauea Avenue,Honolulu,USA,164,General Medical,(808) 733-8000
Pali Momi Medical Center,98-1079  Moanalua Rd,Aiea,USA,126,General Medical,(808) 486-6000
Pam Rehabilitation Hospital Of Allen,1001 Raintree Circle,Allen,USA,40,General Medical,(972) 908-2000
Healthsouth Rehabilitation Hospital Of The Mid-Cities,2304 State Highway 121,Bedford,USA,60,General Medical,(817) 870-2336
Healthsouth Rehabilitation Hospital The Woodlands,18550 Interstate Highway 45 South,Conroe,USA,84,General Medical,(281) 364-2000
Healthsouth Rehabilitation Hospital Of Forth Worth,1212 West Lancaster,Fort Worth,USA,60,General Medical,(817) 870-2336
Methodist Hospital-Southlake,8701 Broadway,Merrillville,USA,1001,General Medical,(219) 738-5500
Ward Memorial Hospital,406 South Gary Street,Monahans,USA,25,Breast Cancer,(432) 943-2511
Continuecare Hospital At Hendrick Medical Center,"1900 Pine,7th Floor",Abilene,USA,46,General Medical,(325) 670-5151
Texas Neurorehab Center,"1106 West Dittmar Road,Building 9",Austin,USA,47,General Medical,(512) 444-4835
Christus Dubuis Hospital Of Beaumont South,860 South 8th Street,Beaumont,USA,18,General Medical,(409) 236-8700
Overlook Medical Center,1000 Galloping Hill Rd,Union,USA,1001,General Medical,(908) 522-6300
Cornerstone Hospital Conroe,1500 Grand Lake Drive,Conroe,USA,41,General Medical,(936) 523-1800
Saint Alphonsus Eagle Health Plz-Er,323 E Riverside Dr,Eagle,USA,1001,General Medical,(208) 367-5355
East Texas Medical Center - Quitman,117 Winnsboro Street,Quitman,USA,25,Breast Cancer,(903) 763-6330
Texas Center For Infectious Disease,2303 Southeast Military Drive,San Antonio,USA,72,General Medical,NOT AVAILABLE
Mesa Hill Specialty Hospital,2311 North Oregon Street,El Paso,USA,32,General Medical,(915) 545-1823
Lifecare Hospitals Of Fort Worth,6201 Overton Ridge Boulevard,Fort Worth,USA,80,General Medical,(817) 370-6078
Kindred Hospital - Tarrant County - Fort Worth Southwest,7800 Oakmont Boulevard,Fort Worth,USA,80,General Medical,(817) 346-0094
Regency Hospital Of Fort Worth,6801 Oakmont Boulevard,Fort Worth,USA,44,General Medical,NOT AVAILABLE
Hansford County Hospital,707 South Roland Street,Spearman,USA,25,Breast Cancer,(806) 659-2535
Baylor Scott & White Surgical Hospital At Sherman,3601 North Calais Street,Sherman,USA,14,General Medical,(903) 813-9999
Baylor Scott & White Hospital - Taylor,305 Mallard Lane,Taylor,USA,25,Breast Cancer,(512) 352-7611
Christus Mother Frances Hospital - Sulphur Springs,115 Airport Road,Sulphur Springs,USA,96,Breast Cancer,(903) 439-4052
Solara Hospital Harlingen,508 Victoria Lane,Harlingen,USA,41,General Medical,(956) 425-9600
University Of Texas Health Center - Tyler,11937 Highway 271 North,Tyler,USA,123,Breast Cancer,NOT AVAILABLE
Kindred Hospital Houston Northwest,11297 Fallbrook Drive,Houston,USA,84,General Medical,(281) 517-1000
Pine Valley Specialty Hospital,6160 South Loop East,Houston,USA,59,General Medical,(713) 640-2400
Plaza Specialty Hospital,1300 Binz Street,Houston,USA,65,General Medical,(713) 285-1000
Icon Hospital,19211 Mckay Drive,Humble,USA,42,General Medical,(281) 883-5500
Houston Methodist St. Catherine Hospital,701 South Fry,Katy,USA,102,General Medical,(281) 599-5700
Laredo Specialty Hospital,2005 Bustamante Street,Laredo,USA,40,General Medical,(956) 753-5353
Healthsouth City View Rehabilitation Hospital,6701 Oakmont Boulevard,Fort Worth,USA,62,General Medical,(817) 370-4700
Healthsouth Rehabilitation Hospital Of Humble,19002 Mckay Drive,Humble,USA,90,General Medical,(281) 446-6148
Mesquite Rehabilitation Hospital,1023 North Belt Line Road,Mesquite,USA,30,General Medical,(972) 216-2400
Healthsouth Plano Rehabilitation Hospital,2800 West 15th Street,Plano,USA,83,General Medical,(972) 612-9000
Healthsouth Rehabilitation Hospital Of Round Rock,1400 Hester'S Crossing,Round Rock,USA,75,General Medical,(512) 244-4400
Warm Springs Rehabilitation Hospital Of San Antonio,5101 Medical Drive,San Antonio,USA,65,General Medical,(210) 616-0100
Carrus Rehabilitation Hospital,"1810 West Highway 82,Ste 100",Sherman,USA,24,General Medical,(903) 870-2600
Healthsouth Rehabilitation Hospital Of Texarkana,515 West 12th Street,Texarkana,USA,60,General Medical,(903) 735-5000
Christus St. Michael Rehabilitation Hospital,2400 St Michael Drive,Texarkana,USA,50,General Medical,(903) 614-4000
Christus Trinity Mother Frances Rehabilitation Hospital,3131 Troup Highway,Tyler,USA,74,General Medical,(903) 510-7000
East Texas Medical Center Rehabilitation Hospital,701 Olympic Plaza Circle,Tyler,USA,49,General Medical,(903) 596-3000
Kindred Rehabilitation Hospital Clear Lake,655 East Medical Center Boulevard,Webster,USA,60,General Medical,(281) 286-1500
Healthsouth Rehabilitation Hospital Of Wichita Falls,3901 Armory Road,Wichita Falls,USA,63,General Medical,(940) 720-5700
Baylor Institute For Rehabilitation At Frisco,2990 Legacy Drive,Frisco,USA,44,General Medical,(469) 888-5100
Corpus Christi Rehabilitation Hospital,5726 Esplanade Drvie,Corpus Christi,USA,35,Breast Cancer,(361) 906-3700
New Braunfels Regional Rehabilitation Hospital,2041 Sundance Parkway,New Braunfels,USA,40,General Medical,(830) 625-6700
Reba Mcentire Center For Rehabilitation,1200 Reba Mcentire Lane,Denison,USA,21,General Medical,(903) 416-1000
Rehab Center At Renaissance,5403 Doctors Drive,Edinburg,USA,46,General Medical,(956) 362-6325
Central Texas Rehabiliation Hospital,700 West 45th Street,Austin,USA,51,General Medical,(512) 323-0756
Grandview Medical Center,3690 Grandview Parkway,Birmingham,USA,372,Covid,(205) 592-1000
Springfield Hospital,25 Ridgewood Rd,Springfield,USA,25,General Medical,(802) 885-2151
Shriners Hospital For  Children,1310 Punahou St,Honolulu,USA,16,General Medical,(808) 941-4466
Hawaii State Hospital,45-710 Keaahala Rd,Kaneohe,USA,178,General Medical,(808) 247-2191
Boys Town National Research Hospital,555 North 30th St,Omaha,USA,31,General Medical,(402) 498-6362
Chi Health Lakeside,16901 Lakeside Hills Ct,Omaha,USA,157,General Medical,(402) 717-8000
Mercy Medical Center-North Iowa,1000 Fourth Street Sw,Mason City,USA,346,Covid,(641) 428-7000
Cherokee Mental Health Institute,1200 West Cedar Street,Cherokee,USA,58,General Medical,(712) 225-2594
North Iowa Medical Center West Campus,910 North Eisenhower Avenue,Mason City,USA,240,General Medical,(515) 424-0440
Buchanan County Health Center,1600 First Street East,Independence,USA,25,Breast Cancer,(319) 332-0999
Central Community Hospital,901 Davidson Street Northwest,Elkader,USA,25,Breast Cancer,(563) 245-7000
Marengo Memorial Hospital,300 May Street - Box 228,Marengo,USA,25,Breast Cancer,(319) 642-5543
Henry County Health Center,407 S White St,Mount Pleasant,USA,74,Breast Cancer,(319) 385-3141
Chi Health Mercy Hospital,800 Mercy Drive,Council Bluffs,USA,278,Lung Cancer,(712) 328-5000
Va Central Iowa Healthcare System,3600 30th Street,Des Moines,USA,1001,General Medical,(515) 699-5999
Select Specialty Hospital - Des Moines,"1111 6th Avenue,4th Floor",Des Moines,USA,21,General Medical,(515) 247-4400
George C Grape Community Hospital,2959 Us Highway 275,Hamburg,USA,25,Breast Cancer,(712) 382-1515
Bingham Memorial Hospital,98 Poplar Street,Blackfoot,USA,25,General Medical,(208) 785-4100
Lake'S Crossing Center,500 Galletti Way,Sparks,USA,66,General Medical,(775) 688-1900
Treasure Valley Hospital,8800 West Emerald Street,Boise,USA,10,General Medical,(208) 373-5000
Anna Hospital Corporation - Dba Union County Hospital,517 North Main Street,Anna,USA,47,General Medical,(618) 833-4511
Macneal  Hospital,3249 South Oak Park Avenue,Berwyn,USA,371,Covid,(708) 783-9100
Metrosouth Medical Center,12935 S Gregory,Blue Island,USA,180,General Medical,(708) 597-2000
Southern Nevada Adult Mental Health Services,6161 West Charleston Boulevard,Las Vegas,USA,190,General Medical,(702) 486-6000
Lighthouse Care Center Of Augusta,3100 Perimeter Parkway,Augusta,USA,54,General Medical,(706) 651-0005
Select Specialty Hospital - Augusta,1537 Walton Way,Augusta,USA,80,General Medical,NOT AVAILABLE
Coliseum Northside Hospital,400 Charter Boulevard,Macon,USA,103,General Medical,(478) 757-8200
Spring Mountain Sahara,5460 West Sahara,Las Vegas,USA,30,General Medical,(702) 873-2400
Lake Bridge Behavioral Health System,3500 Riverside Drive,Macon,USA,40,General Medical,NOT AVAILABLE
Greenleaf Center,2209 Pineview Drive,Valdosta,USA,50,General Medical,NOT AVAILABLE
Jeff Davis Hospital,"163 South Tallahssee, P O Box 1690",Hazlehurst,USA,25,General Medical,NOT AVAILABLE
Northridge Medical Center,70 Medical Center Drive,Commerce,USA,257,General Medical,NOT AVAILABLE
Dooly Medical Center,1300 Union Street,Vienna,USA,47,General Medical,(229) 268-8865
Martin General Hospital,310 South Mccaskey Road,Williamston,USA,49,General Medical,(252) 809-6179
Hi-Desert Medical Center,6601 White Feather Road,Joshua Tree,USA,179,General Medical,NOT AVAILABLE
Patton State Hospital,3102 E. Highland Avenue,Patton,USA,1287,General Medical,NOT AVAILABLE
Palomar Health Downtown Campus,555 E. Valley Parkway,Escondido,USA,292,General Medical,NOT AVAILABLE
Department Of State Hospital - Atascadero,10333 El Camino Real,Atascadero,USA,1275,General Medical,(805) 468-2000
Sierra Vista Regional Medical Center,1010 Murray Street,San Luis Obispo,USA,164,Covid,NOT AVAILABLE
Aurora Vista Del Mar Hospital,801 Seneca Street,Ventura,USA,87,General Medical,NOT AVAILABLE
Los Robles Hospital & Medical Center,215 West Janss Road,Thousand Oaks,USA,321,Children Specialists,NOT AVAILABLE
Las Vegas - Amg Specialty Hospital,4015 South Mcleod Drive,Las Vegas,USA,24,General Medical,(702) 433-2200
Thousand Oaks Surgical Hospital,401 Rolling Oaks Drive,Thousand Oaks,USA,21,General Medical,NOT AVAILABLE
Healdsburg District Hospital,1375 University Street,Healdsburg,USA,43,General Medical,NOT AVAILABLE
Eastern Plumas Hospital-Loyalton Campus,700 Third Street,Loyalton,USA,39,General Medical,NOT AVAILABLE
Santa Barbara Psychiatric Health Facility,315 Camino Del Remedio,Santa Barbara,USA,16,General Medical,NOT AVAILABLE
Colorado Plains Medical Center,1000 Lincoln St,Fort Morgan,USA,50,Lung Cancer,(970) 867-3391
St Vincent General Hospital District,822 W 4th Street,Leadville,USA,25,General Medical,(719) 486-0230
Kit Carson County Memorial Hospital,286 16th Street,Burlington,USA,19,Breast Cancer,(719) 346-5311
Washington Hospital - Fremont,2000 Mowry Avenue,Fremont,USA,341,General Medical,NOT AVAILABLE
Middle Park Medical Center,214 S 4th Street,Kremmling,USA,19,Breast Cancer,(970) 724-3442
Alhambra Hospital,100 South Raymond Avenue,Alhambra,USA,144,General Medical,NOT AVAILABLE
Glendora Community Hospital,150 West Route 66,Glendora,USA,128,General Medical,NOT AVAILABLE
College Medical Center Hawthorne Campus,13300 So. Hawthorne Boulevard,Hawthorne,USA,64,General Medical,NOT AVAILABLE
Woodlands Psychiatric Health Facility,21640 Pocket Ranch Road,Geyserville,USA,1001,General Medical,NOT AVAILABLE
Oceans Behavioral Hospital Of Alexandria,2621 N. Bolton Ave,Alexandria,USA,24,General Medical,(318) 448-8473
Morehouse General Hospital,323 W Walnut Ave,Bastrop,USA,22,General Medical,(318) 556-1191
Green Clinic Surgical Hospital,1118 S Farmerville St,Ruston,USA,13,General Medical,(318) 232-7700
Natchitoches Regional Medical Center,501 Keyser Ave,Natchitoches,USA,208,General Medical,(318) 214-4200
Oakdale Community Hospital,130 Hospital Dr,Oakdale,USA,27,General Medical,(318) 335-3700
North Central Health Care,1100 Lakeview Dr,Wausau,USA,16,General Medical,(715) 848-4600
Select Specialty Hsptl Milwaukee,8901 W Lincoln Ave,West Allis,USA,34,General Medical,(414) 328-7700
Indianhead Med Ctr,113 4th Ave,Shell Lake,USA,25,General Medical,(715) 468-7833
Crescent City Specialty Hospital,"535 Commerce St,Ste B",Gretna,USA,1001,General Medical,(504) 391-1500
Colorado River Medical Center,1401 Bailey Avenue,Needles,USA,25,General Medical,NOT AVAILABLE
Kindred Hospital - San Diego,1940 El Cajon Boulevard,San Diego,USA,70,General Medical,NOT AVAILABLE
Norwood Hospital,800 Washington Road,Norwood,USA,215,General Medical,(781) 769-4000
Tewksbury Hospital,365 East Street,Tewksbury,USA,675,General Medical,(978) 851-7321
Umass Memorial Medical Center - Memorial Campus,119 Belmont Street,Worcester,USA,303,"Level I, Pediatric Ii",NOT AVAILABLE
Vibra Hospital Of Western Mass Central Campus,111 Huntoon Memorial Highway,Leicester,USA,47,General Medical,(413) 787-6700
Westwood/Pembroke Health System Pembroke,199 Oak Street,Pembroke,USA,120,General Medical,(781) 826-8161
Hardin County General Hospital,Ferrell Road,Rosiclare,USA,25,General Medical,(618) 285-6634
